filler_nr,sa,sb,cond,
F9,A: Hast du die Blumen schon gegossen?,B: Gleich.,filler,
F10,A: Ist dein Telefon kaputt?,B: Es ist mir ins Klo gefallen.,filler,
F11,A: Wo liegt Myanmar?,B: Soll ich googlen?,filler,
F12,A: Was trinken Sie?,B: Ich nehme einen Kaffee. ,filler,
F13,A: Haben Sie die Unterlagen dabei?,B: Herr Schmitt bringt sie zu Ihnen.,filler,
F14,A: Bist du Michael?,"B: Ja, warum?",filler,
F15,A: Sollten wir das nächste Woche fortsetzen?,"B: Ja, ich schicke Ihnen dann noch die Dokumente. ",filler,
F16,A: Hat Erika dir das Buch zurückgegeben?,"B: Nein, noch nicht.",filler,
